District,StampVsVehicles,StampVsInvestments,VehiclesVsInvestments
Yadadri Bhuvanagiri,-0.04318565823693192,-0.1223021235553445,0.1915223638373365
Medak,-0.0974759441736559,0.13295257029542917,0.018466204536453104
Vikarabad,-0.19087412647401525,-0.05437759903045485,-0.17065763035348064
Nirmal,-0.07741315835267454,0.06596269007505502,-0.053432751597356054
Medchal_Malkajgiri,0.41088961960019,0.06212081473113395,0.05125175925231858
Rajanna Sircilla,-0.24666285779886626,0.06091988604890042,-0.0980100101083696
Warangal,-0.4107187030849932,0.11368725869119599,-0.033535505755869964
Kumurambheem Asifabad,0.1235524527915538,0.33866842595696567,-0.0593984814290812
Kamareddy,-0.3109696188966527,0.06492978886182815,0.02322144758423361
Bhadradri Kothagudem,0.19811924650910767,0.007399062284042919,-0.11823072447913814
Khammam,0.14773048969712996,0.025398607941559466,0.03624782979168679
Jangoan,-0.32168896978618317,0.057678200703614964,-0.12116624439320886
Mahabubnagar,-0.1356486562119653,0.05062197851580572,-0.009106657823387708
Sangareddy,0.26765689358600847,-0.02891408758367703,0.031056063407268193
Suryapet,0.19221283219303542,0.014252740469997005,-0.05090923071060749
Jogulamba Gadwal,-0.006676912979400989,0.21108228210636995,0.016496996997637434
Hyderabad,0.8654623109750031,0.009792452080444288,0.23659066699409806
Adilabad,0.1623651166764559,-0.2008628508046068,-0.11688069378923341
Mancherial,-0.010129957516028671,0.10271702762770896,-0.0445568087096953
Mahabubabad,-0.2212569252838456,0.06587600476356979,-0.26981574774906253
Siddipet,-0.11546284990593435,0.029168014042159334,0.047702970656616134
Rangareddy,0.4978971390920602,0.066758596033012,0.03013221243783834
Karimnagar,0.2421780655438314,0.03183826313649016,0.20109966577165533
Wanaparthy,-0.336417292345792,0.3448787751076963,-0.0070390310636087566
Nagarkurnool,-0.004837222921654351,0.13195289022780843,0.103839380282071
Peddapalli,-0.13359911528443438,-0.11240243214050057,0.08735053723082235
Jagtial,-0.1559783683557136,0.009851576744008632,-0.04515205449151538
Nizamabad,-0.06507891974476132,0.11293691301212237,0.0013114119489666294
Nalgonda,0.3898983892903812,0.10341319088336899,0.09325171011510207
